node,deg,deg_norm,betweenness,eigenvector,pagerank,cluster
affiliate,43,0.006214771,1.40E-06,0.005733358,8.48E-05,0
affiliation,18,0.002601532,1.13E-08,0.003713375,5.69E-05,9
affinity,17,0.002457002,1.90E-07,0.002727404,6.18E-05,7
affirm,13,0.001878884,1.80E-07,0.002497189,5.11E-05,0
affordable,67,0.00968348,1.14E-05,0.009231971,0.00012396,2
afraid,36,0.005203064,1.65E-07,0.006543291,7.70E-05,0
african,17,0.002457002,5.08E-09,0.003241704,4.82E-05,4
afternoon,42,0.006070241,9.05E-07,0.006151345,8.24E-05,6
afterthought,18,0.002601532,4.17E-08,0.003825636,5.65E-05,0
afterward,48,0.006937419,5.85E-06,0.006221388,9.61E-05,2
ag030644,14,0.002023414,7.29E-08,0.002274639,5.73E-05,9
aga,19,0.002746062,1.11E-07,0.003452265,5.70E-05,7
age,1366,0.197427374,0.005661216,0.035558542,0.000869,6
aged,166,0.023991906,0.000111033,0.014762871,0.000215526,6
ageing,158,0.02283567,5.11E-05,0.013903401,0.000203982,7
agency,33,0.004769475,4.98E-07,0.005938543,7.60E-05,4
agent,231,0.033386328,0.000125048,0.019165441,0.000313997,2
agents.437,16,0.002312473,7.63E-09,0.003084994,5.24E-05,2
aggression,98,0.014163897,7.57E-05,0.009997922,0.000170112,9
aggressive,84,0.012140483,1.36E-05,0.010611822,0.000153765,2
aging,564,0.08151467,0.000861671,0.028092887,0.000521047,6
ago,175,0.025292672,5.74E-05,0.01666389,0.000239989,0
agonist,32,0.004624946,2.31E-06,0.004820952,8.12E-05,7
agree,83,0.011995953,2.57E-06,0.011281202,0.000121485,0
agreement,48,0.006937419,6.32E-06,0.006825934,0.000105579,4
ahead,125,0.018066195,1.67E-05,0.013656274,0.000177636,0
aid,89,0.012863131,9.05E-06,0.010146168,0.000139358,6
aids,164,0.023702847,3.58E-05,0.013819194,0.000209318,7
ail,53,0.007660066,7.94E-07,0.007624721,9.16E-05,0
ailment,17,0.002457002,5.15E-09,0.003489203,5.44E-05,9
aim,293,0.04234716,9.60E-05,0.023193381,0.000307271,2
air,84,0.012140483,2.27E-05,0.010258931,0.000162616,2
airflow,20,0.002890591,1.06E-07,0.003886505,5.92E-05,7
airway,91,0.01315219,1.39E-05,0.010330221,0.000150686,7
ais,90,0.01300766,1.86E-05,0.010126947,0.000163812,7
ajpregu.00360.2012,20,0.002890591,1.49E-05,0.001801804,9.70E-05,5
aka,31,0.004480416,3.05E-06,0.004640486,8.37E-05,7
akhil,17,0.002457002,1.95E-08,0.00316699,5.22E-05,4
al.4,20,0.002890591,1.66E-07,0.003094477,6.79E-05,4
al.446,18,0.002601532,2.09E-08,0.003563479,5.45E-05,2
alabama,18,0.002601532,5.95E-07,0.002454312,7.37E-05,9
alan,18,0.002601532,1.60E-07,0.002636311,6.32E-05,9
alanine,18,0.002601532,1.98E-06,0.001638148,8.49E-05,7
alarm,88,0.012718601,9.53E-06,0.01018982,0.000143489,0
alarming,20,0.002890591,3.90E-08,0.004015846,5.63E-05,7
albeit,19,0.002746062,1.26E-07,0.00397149,6.10E-05,6
albert,17,0.002457002,1.71E-07,0.002489507,6.76E-05,9
albumin,190,0.027460616,0.000236808,0.01339066,0.000274976,7
alcohol,394,0.056944645,0.000353863,0.024747459,0.00038175,7
alcoholism,58,0.008382714,2.71E-06,0.007471077,0.000104756,7
aldosterone,37,0.005347594,2.10E-06,0.005385171,9.07E-05,7
aleksandr,19,0.002746062,1.93E-07,0.003334611,5.82E-05,4
aleksic,19,0.002746062,1.36E-06,0.002224798,7.55E-05,5
alert,18,0.002601532,1.60E-07,0.003060566,5.42E-05,0
alertness,19,0.002746062,3.76E-09,0.003491261,4.53E-05,6
alex,50,0.007226478,4.69E-06,0.007200573,9.49E-05,0
alexandria,15,0.002167943,7.83E-09,0.002881438,5.15E-05,0
algorithm,16,0.002312473,3.30E-06,0.001973436,7.38E-05,8
ali,133,0.019222431,0.000199629,0.011146308,0.000226167,5
align,82,0.011851424,5.14E-06,0.010615656,0.000129671,6
alive,19,0.002746062,1.08E-07,0.003560578,6.32E-05,6
alkaline,18,0.002601532,1.92E-06,0.001559006,8.79E-05,7
alkylated,21,0.003035121,1.67E-09,0.004076583,5.16E-05,4
allan,20,0.002890591,3.14E-06,0.002854304,6.83E-05,5
allegiance,20,0.002890591,1.94E-08,0.004128887,6.30E-05,4
allergic,17,0.002457002,1.43E-07,0.003188785,5.83E-05,10
allergy,76,0.010984246,4.52E-05,0.007602531,0.000161303,9
alleviate,147,0.021245845,8.80E-06,0.014421164,0.000162991,6
allicin,19,0.002746062,1.66E-07,0.002814456,6.48E-05,7
allow,515,0.074432721,0.000505073,0.032386727,0.000480339,2
allowance,20,0.002890591,1.39E-07,0.003700536,6.41E-05,10
allude,14,0.002023414,2.61E-07,0.002488617,5.29E-05,10
almeida,20,0.002890591,7.61E-08,0.00281613,7.29E-05,9
alongside,207,0.029917618,7.06E-05,0.017594165,0.000244433,7
alopecia,140,0.020234138,2.47E-05,0.013606521,0.00017903,7
alpha,104,0.015031074,1.86E-05,0.011572435,0.000162847,7
alprostadil,34,0.004914005,3.24E-06,0.005028553,9.64E-05,2
alter,91,0.01315219,7.70E-06,0.011271708,0.000129889,2
alteration,45,0.00650383,4.27E-07,0.007371433,8.82E-05,2
altered,19,0.002746062,3.19E-07,0.00327758,6.16E-05,6
alternative,407,0.058823529,0.000371849,0.025807471,0.000410588,2
alternatively,48,0.006937419,3.88E-06,0.006966818,9.03E-05,2
altitude,16,0.002312473,1.41E-08,0.003103473,5.51E-05,7
altogether,49,0.007081948,9.91E-06,0.006507163,0.000111765,8
alvin,20,0.002890591,5.12E-07,0.000914394,0.000104072,5
amalgamation,18,0.002601532,6.10E-08,0.003514408,5.80E-05,4
amazing,57,0.008238185,8.73E-06,0.007297564,0.000126644,0
ambiguous,19,0.002746062,6.86E-07,0.00299735,5.98E-05,7
ambulatory,14,0.002023414,5.39E-08,0.001384702,7.07E-05,9
ameliorate,19,0.002746062,8.89E-09,0.003752973,5.02E-05,4
amend,18,0.002601532,3.19E-07,0.003590022,5.43E-05,0
america,47,0.006792889,1.24E-06,0.007540256,9.26E-05,0
america(r,17,0.002457002,3.59E-07,0.00211091,7.55E-05,5
american,352,0.050874404,0.000620126,0.021572538,0.00039758,4
americana,13,0.001878884,9.21E-08,0.001363782,7.26E-05,8
americans,54,0.007804596,9.53E-07,0.008195664,9.66E-05,4
aminotransferase,22,0.00317965,2.54E-06,0.001915919,9.55E-05,7
amory,155,0.022402081,3.03E-05,0.015210974,0.000196883,0
amp,28,0.004046828,2.16E-06,0.003568663,9.84E-05,2
amplify,78,0.011273305,1.69E-06,0.010146512,0.000109519,7
amygdala,18,0.002601532,1.02E-07,0.0030863,5.58E-05,6
ana,20,0.002890591,2.02E-06,0.002826458,7.12E-05,8
anabolic,325,0.046972106,0.000166027,0.02248292,0.000327778,7
anaemia,32,0.004624946,6.02E-07,0.004752827,7.22E-05,7
anaerobic,17,0.002457002,7.97E-09,0.003858166,5.18E-05,0
analog,27,0.003902298,2.38E-08,0.004899871,5.88E-05,7
analogy,83,0.011995953,1.74E-05,0.009361108,0.000149838,0
analyse,20,0.002890591,1.02E-08,0.003890674,5.09E-05,6
analysis,456,0.065905478,0.000549283,0.028048544,0.000496666,4
"analysis,372",18,0.002601532,6.86E-07,0.002741698,7.03E-05,4
analyte,18,0.002601532,3.74E-08,0.003294869,5.57E-05,4
analyze,107,0.015464663,9.74E-06,0.012950023,0.000165646,4
anaphylactic,18,0.002601532,6.74E-08,0.00373746,5.38E-05,4
anaphylaxis,34,0.004914005,1.81E-06,0.005717087,8.78E-05,2
anastrozole,67,0.00968348,3.08E-06,0.008990429,0.000116541,7
anavecianasuarez.com,19,0.002746062,2.89E-06,0.002337622,7.46E-05,8
anawalt,153,0.022113022,0.000151185,0.012817693,0.000228905,5
ancillary,81,0.011706894,1.13E-05,0.010239406,0.000124762,2
and/,18,0.002601532,3.13E-07,0.002842644,6.33E-05,4
and/or,354,0.051163463,0.00019497,0.023638049,0.00033386,6
anderson,19,0.002746062,6.21E-07,0.001387411,0.00010002,5
andr.12770,17,0.002457002,4.28E-08,0.002596443,6.12E-05,5
andre,20,0.002890591,1.09E-06,0.002146268,8.70E-05,5
andrea,20,0.002890591,5.30E-05,0.001126935,0.000109706,5
andriol,36,0.005203064,2.02E-06,0.0053941,9.40E-05,2
androderm,59,0.008527244,9.00E-06,0.007677115,0.00013266,2
androgel,85,0.012285012,2.64E-05,0.009706026,0.00016389,2
androgen,647,0.093510623,0.001195767,0.030906034,0.000596958,7
