node,x,y,is_AMS
approximately,-0.15312355229681407,-0.005719466112597134,0
apr,0.1202426022507387,0.30487065141170105,0
apr23.doi,0.026883630150385293,0.5417125542702731,0
april,-0.09263279112502514,0.37820722898964587,0
aquino,-0.04679132298628451,0.2787772307050536,0
arash,0.002482445349707236,0.06839362475507504,0
araujo,0.03977909688208463,0.4415203469889318,0
arch,0.09526540031631701,0.5335662128962435,0
archinte.166.13.1380,0.12758465101493305,0.45284414148432245,0
archive,-0.08864732987374965,0.20166737828660491,0
area,-0.2256400880264739,0.22582825106994558,0
argument,0.18636390840180883,-0.09110671164056802,0
arise,-0.07509968906338176,-0.08573998877966157,0
arizona,0.2691857286117468,0.08830951246266334,0
arkansa,0.3990173802401523,0.15313147858679838,0
arlt,-0.04098066693025469,0.5941367178729072,0
arm,-0.15470510257353318,-0.1100823428194942,0
armpit,-0.14793732662655873,-0.32288492720089074,0
arnaldo,-0.21406038126400492,0.472824518867534,0
arnold,0.2344451042531055,0.18948266379706097,0
aromatase,-0.24204544192189303,-0.17054470238326275,0
aromatisation,-0.22809691241416097,-0.16232881765592896,0
aromatization,-0.18836637337698606,-0.09381486128468022,0
arousal,-0.10542552231996695,-0.0032568297016566028,0
aroused,-0.1927446282050603,0.055110161987819276,0
arrange,0.12047311523042084,-0.16970566382841012,0
array,0.08092055823505005,0.11971559646067703,0
arrhythmia,-0.2148272048114018,0.05385172518519147,0
arrive,-0.02295529767699177,-0.13366363682670998,0
art,0.11739983406135393,0.22161151166037893,0
arterial,-0.2738723502658868,-0.2308416713651087,0
artery,-0.15955549401216632,-0.03848651643474331,0
arthritis,-0.1788184909213485,0.27172790725042273,0
arthur,-0.04265863731598848,0.2203575689884561,0
artificial,0.09274735993717238,0.03161109932286262,0
artificially,-0.06866984730732652,-0.5121031866417091,0
asanad,0.1069008023434415,-0.2829556876868941,0
asap,0.17416668076276104,0.2764740009068502,0
ascertain,-0.1458465654745172,0.22388883940717175,0
asempa,0.013605397132122847,0.0028153561513636267,0
ashkenazi,-0.4137723768180717,-0.2977168368993572,0
ashley,0.1746951537454601,0.3232320475638868,0
ashwagandha,0.09489927838192909,-0.12195659191301378,0
asia,0.25885006375809083,0.019003913381750913,0
asian,0.09933368808951394,0.19771403031313092,0
aside,-0.05594199235468623,-0.17115229934856435,0
askmayoexpert,0.12442617901926611,0.3674669913311864,0
asleep,0.03351144379216855,-0.127357345376104,0
asmh,-0.1821332057477396,0.207997622980688,0
aspartate,-0.5342360580980356,-0.00062400741655019,0
aspect,0.00021675982825251333,-0.13491568644485297,0
aspirin,-0.13655725643152022,-0.008271928413162639,0
assay,-0.032270818771159435,0.11298024305291884,0
assessment,0.06247286027684339,0.16016345031794987,0
assign,0.004699126188896064,0.10756537014956992,0
assist,0.05774249006342108,-0.18821432973095925,0
assistance,0.0013446869300799882,0.08406556394822909,0
assistant,0.07734164955138036,0.10553092879597481,0
assistive,0.08139115177062345,-0.24069220799537164,0
assoc,0.015587663875496276,0.2272449346619605,0
associated,-0.12155449049171242,0.006721928673168006,0
association,-0.3250906083233292,0.19425634088077817,0
assume,0.07218034465937836,-0.07550149207066954,0
assumption,0.4761871489444617,0.007786641250284851,0
assure,0.05101353546584131,0.13626286337588772,0
assured,-0.03234779544167671,0.1036111078066828,0
astella,0.0926044711477913,0.3981742629297891,0
asthma,-0.05944469928666379,0.3035567445447249,0
asymptomatic,-0.28548197059388275,0.04378014259992599,0
asynchronous,0.2731340175269153,-0.07483249073566565,0
atherosclerosis,-0.08994343431462812,-0.07528963647737229,0
atherosclerotic,-0.36036719282685176,-0.012280487463644057,0
athlete,-0.11316850414515951,-0.09936175668973538,0
athletic,0.21285472459633242,0.11299131451006504,0
atlanta,0.20681075831870802,0.15230864479885894,0
atrial,-0.13156575279816826,0.047118931083620454,0
atrophy,-0.11101885085014848,-0.13406480330988033,0
attach,-0.25330109554750224,-0.30826553329394485,0
attache,-0.45223790692965105,-0.15625994864191733,0
attack,-0.48902606603476545,0.21252826335435968,0
attain,-0.41949137328806674,-0.007348542240752548,0
attempt,-0.0737843656753286,-0.12380672488779382,0
attend,0.152331389619188,-0.07420056128570293,0
attention,-0.0064898988384670024,0.08198320770273627,0
attest,0.2290493455237932,0.04378053838785789,0
