node,deg,deg_norm,betweenness,eigenvector,pagerank,community
content.5,10,0.0014452955629426219,1.1215595848163667e-07,0.0026747140893979464,5.9567353796015577e-05,2
contentment,10,0.0014452955629426219,1.103136645427198e-07,0.0026123565528273244,5.1157999930122425e-05,5
contested,9,0.0013007660066483597,2.486671783290089e-08,0.0031954211734083774,4.842422751546104e-05,3
context,56,0.008093655152478682,1.757843735236233e-05,0.01122666490583966,0.00014657166760202348,3
continually,20,0.0028905911258852437,2.0331231743850698e-05,0.0037647600404044157,9.593495799638827e-05,3
continue,257,0.03714409596762538,0.00033729037935630566,0.02868841161984042,0.0004016817927052271,3
continuous,29,0.004191357132533603,6.480166244625627e-06,0.006563281566938228,0.00010525255189376798,7
continuously,27,0.003902298019945079,7.4709887106338915e-06,0.006059772427846906,9.502903797010899e-05,1
contraceptive,42,0.006070241364359011,9.661861392179644e-06,0.008863685805840339,0.00010736592201734347,7
contract,19,0.0027460615695909813,5.351093475667341e-06,0.004557340569892056,8.849904942042712e-05,3
contradict,10,0.0014452955629426219,5.78785302763997e-07,0.0028634721181989304,6.065917716324499e-05,0
contraindicate,10,0.0014452955629426219,4.0180533859388746e-07,0.0024246129525833035,5.901952840663984e-05,6
contraindication,87,0.012574071397600809,2.6994654753809414e-05,0.014248194000034468,0.00019045365708574087,3
contrary,28,0.004046827576239341,5.980814356826934e-06,0.005911830145817091,0.00010446525617747398,0
contrast,94,0.013585778291660645,2.698240661180674e-05,0.015968043246456072,0.00018134387387634286,1
contribute,350,0.05058534470299176,0.0006129366643551156,0.03151609319414241,0.00047290708152168437,7
contributing,25,0.0036132389073565544,1.8850891616281157e-05,0.004849883677815228,9.954798516573763e-05,13
contributor,20,0.0028905911258852437,5.5174726508428255e-06,0.004168121924405666,0.00010018042729672473,13
control,410,0.05925711808064749,0.0015167572581222648,0.03318461831513862,0.0006120198545215552,2
control=,10,0.0014452955629426219,1.6487484128769995e-08,0.003017472379318091,4.886798410177555e-05,6
controversial,44,0.006359300476947536,5.68447656658347e-06,0.009827344774217942,0.00012394098119551002,3
controversy,46,0.00664835958953606,2.9609707196984045e-05,0.009160979310860845,0.00012695983793044533,11
